Country_Region,Sub_Region1,Sub_Region2,Date,Hospital_Admissions,ICU_Admissions,retail_and_recreation,grocery_and_pharmacy,parks,transit_Stations,workplaces,residential,Population_2019,Population_Density,Median_Age,Race_Hawaiian_PacIslander,Average_Household_Size,Age_0_to_4,Age_18_to_24,Age_25_or_older,Age_25_to_44,Age_45_to_64,Age_5_to_17,Age_GE_65,Education_Bachelors,Education_LT_9thgrade,Education_GE_Bachelors,Education_GE_High_School,Education_GradProfDoc,Education_LT_HighSchool,Education_associate,Eductaion_some_collg_nodeg,Employed,Unemployed,Family_Households,For_Seasonal_or_Recreational_Use,High_School_Graduate,Hispanic_or_Latino,Households_2018,Housing_Units,Income_Household_2018,Income_PerCapita_2018,Labor_Force_2019,Living_Alone,Married_with_Children,Married_without_Children,Non_Family_Households,Non_Hispanic_or_Latino,Occupied,Owner_Occupied,Population_Growth_2019,Race_AmerInd_Alas,Race_Asian_only,Race_Black_only,Race_Mixed,Race_White_only,Renter_Occupied,Single_Parents,Total_Households,Vacant,area,N
United States,Massachusetts,Nantucket County,28FEB2020,,,-15,0,,,-16,,11399,237.5,40.1,0.06,2.9,6.11,6.54,70.4,28.87,27.65,14.34,13.88,20.89,0.55,51.7,95.3,15.5,2.78,4.62,13.11,64.41,2.8,0.17,67.35,12.95,4.43,32.65,106.95,855.56,1089.29,67.21,10.21,5.82,10.19,12.76,92.96,32.65,22.6,12.1,0.31,0.94,6.81,3.44,85.29,10.05,2.59,32.65,74.3,48,10
United States,Massachusetts,Norfolk County,28FEB2020,,,4,1,-2,2,3,0,706775,1766.9,40.9,0.04,2.5,5.31,8.59,69.13,24.93,28.16,15.76,16.04,19.75,1.81,53,93.9,16.86,2.42,5.18,9.64,54.54,1.42,0,0.24,13.47,4.3,37.29,39.23,14.17,13.06,55.96,10.04,8.9,11,12.61,94.5,37.29,25.8,5.4,0.12,10.62,6.73,2.31,77.48,11.49,1.93,37.29,1.94,400,11
United States,Massachusetts,Plymouth County,28FEB2020,,,4,2,0,5,3,0,521202,788.5,42.6,0.04,2.6,5.24,8.5,68.18,21.96,29.39,16.35,16.83,15.72,1.89,36.7,92.9,9.29,2.94,6.76,12.55,53.32,1.66,0,2.07,19.02,3.74,35.75,39.49,17.21,12.95,54.99,8.72,7.56,11.7,10.48,94.52,35.75,27.15,5.3,0.13,1.25,9.24,2.3,81.96,8.6,2.98,35.75,3.75,661,12
United States,Massachusetts,Suffolk County,28FEB2020,,,8,3,3,8,4,0,803907,13860.5,32.7,0.03,2.4,5.3,13.78,68.02,35.43,21.26,11.39,11.34,16.83,5.67,44.8,85.5,13.63,4.17,3.21,9.25,55.87,1.5,0,0.54,15.27,22.35,38.3,41.45,8.55,10.09,57.37,13.64,4.35,6.86,19.21,76.14,38.3,13.83,11.3,0.29,8.64,22.11,6.28,54.41,24.47,3.7,38.3,3.16,58,13
United States,Massachusetts,Worcester County,28FEB2020,,,5,0,-7,11,3,0,830622,549,40.1,0.03,2.5,5.38,9.77,67.95,24.65,28.57,15.9,14.74,14.93,2.33,35.9,90.4,9.49,4.18,6.13,11.76,52.51,1.7,0,0.41,19.12,11.04,37,40.19,8.64,6.86,54.22,10.15,7.38,10.89,12.68,87.95,37,24.04,4,0.22,4.78,4.91,2.86,83.14,12.96,3.12,37,3.19,1513,14
United States,Massachusetts,,29FEB2020,,,9,0,26,11,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Massachusetts,Barnstable County,29FEB2020,,,6,2,20,17,2,-1,212990,537.9,52.9,0.08,2.2,3.7,7.16,77.63,17.72,30.69,11.85,29.22,19.02,1.06,42.8,95.5,14.22,2.43,7.15,14.87,52.11,2.09,0.01,29.44,18.87,2.92,44.27,76.61,32.4,35.1,54.2,14.26,5.28,16.73,16.96,97.4,44.27,35.21,-1.3,0.53,1.52,2.98,2,92.23,9.06,2.24,44.27,32.34,396,1
United States,Massachusetts,Berkshire County,29FEB2020,,,6,-3,4,-1,2,0,124944,134.2,46.7,0.04,2.1,4.34,9.8,74.39,21.22,30.71,13.38,22.46,13.93,2,33.4,91.1,10.91,4.62,7.24,13.48,50.45,1.83,0.02,6.44,22.21,4.67,44.15,55.29,46.72,45.22,52.28,15.23,5.36,13.5,18.22,97.23,44.15,30.41,-4.8,0.34,1.74,2.99,2.48,92.49,13.74,3.71,44.15,11.13,931,2
United States,Massachusetts,Bristol County,29FEB2020,,,10,1,4,9,1,-1,565217,1016.6,41,0.04,2.5,5.21,9.21,69.04,24.68,28.23,15.41,16.13,12.26,5.48,28,84.9,7.04,4.94,6.26,12.39,51.82,2,0,0.5,20.67,7.62,38.32,41.48,11.68,9.57,53.82,10.66,6.69,11.32,13.03,91.27,38.32,23.95,3.1,0.08,2.23,4.01,2.94,83.61,14.37,3.87,38.32,3.16,556,3
United States,Massachusetts,Dukes County,29FEB2020,,,-15,-11,,,-9,,17332,166.7,46.1,0,2.6,3.76,7.5,73.45,21.73,29.53,15.18,22.19,18.38,1.31,44.2,95.5,14.05,2.01,4.83,15.04,53.4,2.28,0.13,63.18,17.83,3.5,36.74,102.64,405.17,540.77,55.68,11.85,5.69,11.99,14.1,96.39,36.74,28.44,4.8,0.73,0.37,3.92,4.64,88.39,8.29,2.44,36.74,65.9,104,4
United States,Massachusetts,Essex County,29FEB2020,,,9,-2,19,12,1,-1,789034,1584.4,40.8,0.01,2.6,5.59,9.24,68.31,23.89,28.28,15.84,16.14,16.05,3.87,39.4,89.3,10.84,3.47,5.59,11.29,52.86,1.62,0,0.72,17.2,20.15,37.09,39.54,9.68,8.56,54.48,10.21,7.19,10.86,12.31,78.84,37.09,23.77,6.2,0.24,3.41,3.97,2.86,79.28,13.32,3.5,37.09,2.45,498,5
United States,Massachusetts,Franklin County,29FEB2020,,,15,5,,,3,,70180,100,46.1,0.09,2.2,4.5,7.36,75.82,24.01,31.34,13.4,20.47,14.93,1.54,37.2,93.1,13.26,3.68,8,13.15,57.29,1.58,0.04,2.08,21.25,3.94,43.21,48.55,84.06,77.93,58.87,13.62,6.29,13.38,17.56,97.13,43.21,29.96,-1.7,0.31,1.66,1.53,2.28,94.11,13.25,3.02,43.21,5.33,702,6
United States,Massachusetts,Hampden County,29FEB2020,,,13,-2,13,12,1,-2,466372,754.6,38.9,0.02,2.5,5.67,10.7,67.82,24.61,27.08,16.4,16.13,11.09,4,27.2,85.3,7.33,5.97,6.54,12.9,47.34,2.02,0.01,0.36,19.99,24.76,38.39,41.5,11.3,10.98,49.36,11.47,5.66,10.14,13.75,75.83,38.39,23.36,0.6,0.27,2.37,8.83,2.81,81.68,15.03,4.78,38.39,3.11,618,7
United States,Massachusetts,Hampshire County,29FEB2020,,,7,0,,,7,-2,160830,304,36.3,0.04,2.3,3.51,23.28,61.79,20.49,25.31,11.62,15.99,14.19,1.07,46.5,94.4,14.55,2.39,5.86,9.16,55.01,1.53,0.01,0.91,14.58,5.52,36.48,39.59,46.29,32.94,56.54,11.15,5.58,10.47,15.1,94.68,36.48,23.99,1.7,0.17,5.24,2.79,2.9,88.16,12.48,2.6,36.48,3.11,529,8
United States,Massachusetts,Middlesex County,29FEB2020,,,5,1,12,11,3,-1,1611699,1955.9,38.5,0.04,2.5,5.41,9.77,69.27,28.19,26.56,14.52,14.52,18.84,2.39,55.2,93.1,19.39,2.38,4.09,8.65,56.32,1.33,0,0.3,13.54,7.79,37.23,39.25,6.23,5.2,57.66,9.85,8.4,10.73,13.17,91.19,37.23,23.23,7.2,0.18,11.55,5.21,2.85,76.52,14,2.19,37.23,2.02,824,9
United States,Massachusetts,Nantucket County,29FEB2020,,,2,-6,,,,,11399,237.5,40.1,0.06,2.9,6.11,6.54,70.4,28.87,27.65,14.34,13.88,20.89,0.55,51.7,95.3,15.5,2.78,4.62,13.11,64.41,2.8,0.17,67.35,12.95,4.43,32.65,106.95,855.56,1089.29,67.21,10.21,5.82,10.19,12.76,92.96,32.65,22.6,12.1,0.31,0.94,6.81,3.44,85.29,10.05,2.59,32.65,74.3,48,10
United States,Massachusetts,Norfolk County,29FEB2020,,,7,2,26,9,3,-1,706775,1766.9,40.9,0.04,2.5,5.31,8.59,69.13,24.93,28.16,15.76,16.04,19.75,1.81,53,93.9,16.86,2.42,5.18,9.64,54.54,1.42,0,0.24,13.47,4.3,37.29,39.23,14.17,13.06,55.96,10.04,8.9,11,12.61,94.5,37.29,25.8,5.4,0.12,10.62,6.73,2.31,77.48,11.49,1.93,37.29,1.94,400,11
United States,Massachusetts,Plymouth County,29FEB2020,,,6,0,31,5,2,-1,521202,788.5,42.6,0.04,2.6,5.24,8.5,68.18,21.96,29.39,16.35,16.83,15.72,1.89,36.7,92.9,9.29,2.94,6.76,12.55,53.32,1.66,0,2.07,19.02,3.74,35.75,39.49,17.21,12.95,54.99,8.72,7.56,11.7,10.48,94.52,35.75,27.15,5.3,0.13,1.25,9.24,2.3,81.96,8.6,2.98,35.75,3.75,661,12
United States,Massachusetts,Suffolk County,29FEB2020,,,17,5,66,13,2,-1,803907,13860.5,32.7,0.03,2.4,5.3,13.78,68.02,35.43,21.26,11.39,11.34,16.83,5.67,44.8,85.5,13.63,4.17,3.21,9.25,55.87,1.5,0,0.54,15.27,22.35,38.3,41.45,8.55,10.09,57.37,13.64,4.35,6.86,19.21,76.14,38.3,13.83,11.3,0.29,8.64,22.11,6.28,54.41,24.47,3.7,38.3,3.16,58,13
United States,Massachusetts,Worcester County,29FEB2020,,,10,-3,17,11,2,-2,830622,549,40.1,0.03,2.5,5.38,9.77,67.95,24.65,28.57,15.9,14.74,14.93,2.33,35.9,90.4,9.49,4.18,6.13,11.76,52.51,1.7,0,0.41,19.12,11.04,37,40.19,8.64,6.86,54.22,10.15,7.38,10.89,12.68,87.95,37,24.04,4,0.22,4.78,4.91,2.86,83.14,12.96,3.12,37,3.19,1513,14
United States,Massachusetts,,01MAR2020,,,10,4,-1,11,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Massachusetts,Barnstable County,01MAR2020,,,5,8,-6,16,2,-1,212990,537.9,52.9,0.08,2.2,3.7,7.16,77.63,17.72,30.69,11.85,29.22,19.02,1.06,42.8,95.5,14.22,2.43,7.15,14.87,52.11,2.09,0.01,29.44,18.87,2.92,44.27,76.61,32.4,35.1,54.2,14.26,5.28,16.73,16.96,97.4,44.27,35.21,-1.3,0.53,1.52,2.98,2,92.23,9.06,2.24,44.27,32.34,396,1
United States,Massachusetts,Berkshire County,01MAR2020,,,14,3,4,12,3,-1,124944,134.2,46.7,0.04,2.1,4.34,9.8,74.39,21.22,30.71,13.38,22.46,13.93,2,33.4,91.1,10.91,4.62,7.24,13.48,50.45,1.83,0.02,6.44,22.21,4.67,44.15,55.29,46.72,45.22,52.28,15.23,5.36,13.5,18.22,97.23,44.15,30.41,-4.8,0.34,1.74,2.99,2.48,92.49,13.74,3.71,44.15,11.13,931,2
United States,Massachusetts,Bristol County,01MAR2020,,,12,7,-2,11,4,-1,565217,1016.6,41,0.04,2.5,5.21,9.21,69.04,24.68,28.23,15.41,16.13,12.26,5.48,28,84.9,7.04,4.94,6.26,12.39,51.82,2,0,0.5,20.67,7.62,38.32,41.48,11.68,9.57,53.82,10.66,6.69,11.32,13.03,91.27,38.32,23.95,3.1,0.08,2.23,4.01,2.94,83.61,14.37,3.87,38.32,3.16,556,3
United States,Massachusetts,Dukes County,01MAR2020,,,5,3,,,,,17332,166.7,46.1,0,2.6,3.76,7.5,73.45,21.73,29.53,15.18,22.19,18.38,1.31,44.2,95.5,14.05,2.01,4.83,15.04,53.4,2.28,0.13,63.18,17.83,3.5,36.74,102.64,405.17,540.77,55.68,11.85,5.69,11.99,14.1,96.39,36.74,28.44,4.8,0.73,0.37,3.92,4.64,88.39,8.29,2.44,36.74,65.9,104,4
United States,Massachusetts,Essex County,01MAR2020,,,10,0,1,5,2,0,789034,1584.4,40.8,0.01,2.6,5.59,9.24,68.31,23.89,28.28,15.84,16.14,16.05,3.87,39.4,89.3,10.84,3.47,5.59,11.29,52.86,1.62,0,0.72,17.2,20.15,37.09,39.54,9.68,8.56,54.48,10.21,7.19,10.86,12.31,78.84,37.09,23.77,6.2,0.24,3.41,3.97,2.86,79.28,13.32,3.5,37.09,2.45,498,5
United States,Massachusetts,Franklin County,01MAR2020,,,11,10,,,5,,70180,100,46.1,0.09,2.2,4.5,7.36,75.82,24.01,31.34,13.4,20.47,14.93,1.54,37.2,93.1,13.26,3.68,8,13.15,57.29,1.58,0.04,2.08,21.25,3.94,43.21,48.55,84.06,77.93,58.87,13.62,6.29,13.38,17.56,97.13,43.21,29.96,-1.7,0.31,1.66,1.53,2.28,94.11,13.25,3.02,43.21,5.33,702,6
United States,Massachusetts,Hampden County,01MAR2020,,,14,6,8,14,1,-1,466372,754.6,38.9,0.02,2.5,5.67,10.7,67.82,24.61,27.08,16.4,16.13,11.09,4,27.2,85.3,7.33,5.97,6.54,12.9,47.34,2.02,0.01,0.36,19.99,24.76,38.39,41.5,11.3,10.98,49.36,11.47,5.66,10.14,13.75,75.83,38.39,23.36,0.6,0.27,2.37,8.83,2.81,81.68,15.03,4.78,38.39,3.11,618,7
United States,Massachusetts,Hampshire County,01MAR2020,,,12,7,-10,,6,-1,160830,304,36.3,0.04,2.3,3.51,23.28,61.79,20.49,25.31,11.62,15.99,14.19,1.07,46.5,94.4,14.55,2.39,5.86,9.16,55.01,1.53,0.01,0.91,14.58,5.52,36.48,39.59,46.29,32.94,56.54,11.15,5.58,10.47,15.1,94.68,36.48,23.99,1.7,0.17,5.24,2.79,2.9,88.16,12.48,2.6,36.48,3.11,529,8
United States,Massachusetts,Middlesex County,01MAR2020,,,5,3,-6,2,4,0,1611699,1955.9,38.5,0.04,2.5,5.41,9.77,69.27,28.19,26.56,14.52,14.52,18.84,2.39,55.2,93.1,19.39,2.38,4.09,8.65,56.32,1.33,0,0.3,13.54,7.79,37.23,39.25,6.23,5.2,57.66,9.85,8.4,10.73,13.17,91.19,37.23,23.23,7.2,0.18,11.55,5.21,2.85,76.52,14,2.19,37.23,2.02,824,9
United States,Massachusetts,Nantucket County,01MAR2020,,,,4,,,,,11399,237.5,40.1,0.06,2.9,6.11,6.54,70.4,28.87,27.65,14.34,13.88,20.89,0.55,51.7,95.3,15.5,2.78,4.62,13.11,64.41,2.8,0.17,67.35,12.95,4.43,32.65,106.95,855.56,1089.29,67.21,10.21,5.82,10.19,12.76,92.96,32.65,22.6,12.1,0.31,0.94,6.81,3.44,85.29,10.05,2.59,32.65,74.3,48,10
United States,Massachusetts,Norfolk County,01MAR2020,,,9,5,-5,11,4,0,706775,1766.9,40.9,0.04,2.5,5.31,8.59,69.13,24.93,28.16,15.76,16.04,19.75,1.81,53,93.9,16.86,2.42,5.18,9.64,54.54,1.42,0,0.24,13.47,4.3,37.29,39.23,14.17,13.06,55.96,10.04,8.9,11,12.61,94.5,37.29,25.8,5.4,0.12,10.62,6.73,2.31,77.48,11.49,1.93,37.29,1.94,400,11
United States,Massachusetts,Plymouth County,01MAR2020,,,8,5,11,-2,4,-1,521202,788.5,42.6,0.04,2.6,5.24,8.5,68.18,21.96,29.39,16.35,16.83,15.72,1.89,36.7,92.9,9.29,2.94,6.76,12.55,53.32,1.66,0,2.07,19.02,3.74,35.75,39.49,17.21,12.95,54.99,8.72,7.56,11.7,10.48,94.52,35.75,27.15,5.3,0.13,1.25,9.24,2.3,81.96,8.6,2.98,35.75,3.75,661,12
United States,Massachusetts,Suffolk County,01MAR2020,,,11,1,5,12,3,-1,803907,13860.5,32.7,0.03,2.4,5.3,13.78,68.02,35.43,21.26,11.39,11.34,16.83,5.67,44.8,85.5,13.63,4.17,3.21,9.25,55.87,1.5,0,0.54,15.27,22.35,38.3,41.45,8.55,10.09,57.37,13.64,4.35,6.86,19.21,76.14,38.3,13.83,11.3,0.29,8.64,22.11,6.28,54.41,24.47,3.7,38.3,3.16,58,13
United States,Massachusetts,Worcester County,01MAR2020,,,11,3,-10,20,4,-1,830622,549,40.1,0.03,2.5,5.38,9.77,67.95,24.65,28.57,15.9,14.74,14.93,2.33,35.9,90.4,9.49,4.18,6.13,11.76,52.51,1.7,0,0.41,19.12,11.04,37,40.19,8.64,6.86,54.22,10.15,7.38,10.89,12.68,87.95,37,24.04,4,0.22,4.78,4.91,2.86,83.14,12.96,3.12,37,3.19,1513,14
United States,Massachusetts,,02MAR2020,,,7,5,21,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Massachusetts,Barnstable County,02MAR2020,,,4,5,16,-3,4,0,212990,537.9,52.9,0.08,2.2,3.7,7.16,77.63,17.72,30.69,11.85,29.22,19.02,1.06,42.8,95.5,14.22,2.43,7.15,14.87,52.11,2.09,0.01,29.44,18.87,2.92,44.27,76.61,32.4,35.1,54.2,14.26,5.28,16.73,16.96,97.4,44.27,35.21,-1.3,0.53,1.52,2.98,2,92.23,9.06,2.24,44.27,32.34,396,1
United States,Massachusetts,Berkshire County,02MAR2020,,,11,1,15,9,5,-1,124944,134.2,46.7,0.04,2.1,4.34,9.8,74.39,21.22,30.71,13.38,22.46,13.93,2,33.4,91.1,10.91,4.62,7.24,13.48,50.45,1.83,0.02,6.44,22.21,4.67,44.15,55.29,46.72,45.22,52.28,15.23,5.36,13.5,18.22,97.23,44.15,30.41,-4.8,0.34,1.74,2.99,2.48,92.49,13.74,3.71,44.15,11.13,931,2
United States,Massachusetts,Bristol County,02MAR2020,,,9,5,1,5,4,-1,565217,1016.6,41,0.04,2.5,5.21,9.21,69.04,24.68,28.23,15.41,16.13,12.26,5.48,28,84.9,7.04,4.94,6.26,12.39,51.82,2,0,0.5,20.67,7.62,38.32,41.48,11.68,9.57,53.82,10.66,6.69,11.32,13.03,91.27,38.32,23.95,3.1,0.08,2.23,4.01,2.94,83.61,14.37,3.87,38.32,3.16,556,3
United States,Massachusetts,Dukes County,02MAR2020,,,11,6,,-12,5,,17332,166.7,46.1,0,2.6,3.76,7.5,73.45,21.73,29.53,15.18,22.19,18.38,1.31,44.2,95.5,14.05,2.01,4.83,15.04,53.4,2.28,0.13,63.18,17.83,3.5,36.74,102.64,405.17,540.77,55.68,11.85,5.69,11.99,14.1,96.39,36.74,28.44,4.8,0.73,0.37,3.92,4.64,88.39,8.29,2.44,36.74,65.9,104,4
United States,Massachusetts,Essex County,02MAR2020,,,9,3,28,4,3,-1,789034,1584.4,40.8,0.01,2.6,5.59,9.24,68.31,23.89,28.28,15.84,16.14,16.05,3.87,39.4,89.3,10.84,3.47,5.59,11.29,52.86,1.62,0,0.72,17.2,20.15,37.09,39.54,9.68,8.56,54.48,10.21,7.19,10.86,12.31,78.84,37.09,23.77,6.2,0.24,3.41,3.97,2.86,79.28,13.32,3.5,37.09,2.45,498,5
United States,Massachusetts,Franklin County,02MAR2020,,,12,12,,,4,0,70180,100,46.1,0.09,2.2,4.5,7.36,75.82,24.01,31.34,13.4,20.47,14.93,1.54,37.2,93.1,13.26,3.68,8,13.15,57.29,1.58,0.04,2.08,21.25,3.94,43.21,48.55,84.06,77.93,58.87,13.62,6.29,13.38,17.56,97.13,43.21,29.96,-1.7,0.31,1.66,1.53,2.28,94.11,13.25,3.02,43.21,5.33,702,6
United States,Massachusetts,Hampden County,02MAR2020,,,15,8,55,10,3,-1,466372,754.6,38.9,0.02,2.5,5.67,10.7,67.82,24.61,27.08,16.4,16.13,11.09,4,27.2,85.3,7.33,5.97,6.54,12.9,47.34,2.02,0.01,0.36,19.99,24.76,38.39,41.5,11.3,10.98,49.36,11.47,5.66,10.14,13.75,75.83,38.39,23.36,0.6,0.27,2.37,8.83,2.81,81.68,15.03,4.78,38.39,3.11,618,7
United States,Massachusetts,Hampshire County,02MAR2020,,,7,9,,,9,0,160830,304,36.3,0.04,2.3,3.51,23.28,61.79,20.49,25.31,11.62,15.99,14.19,1.07,46.5,94.4,14.55,2.39,5.86,9.16,55.01,1.53,0.01,0.91,14.58,5.52,36.48,39.59,46.29,32.94,56.54,11.15,5.58,10.47,15.1,94.68,36.48,23.99,1.7,0.17,5.24,2.79,2.9,88.16,12.48,2.6,36.48,3.11,529,8
United States,Massachusetts,Middlesex County,02MAR2020,,,4,6,28,-4,4,0,1611699,1955.9,38.5,0.04,2.5,5.41,9.77,69.27,28.19,26.56,14.52,14.52,18.84,2.39,55.2,93.1,19.39,2.38,4.09,8.65,56.32,1.33,0,0.3,13.54,7.79,37.23,39.25,6.23,5.2,57.66,9.85,8.4,10.73,13.17,91.19,37.23,23.23,7.2,0.18,11.55,5.21,2.85,76.52,14,2.19,37.23,2.02,824,9
United States,Massachusetts,Nantucket County,02MAR2020,,,6,6,,,7,,11399,237.5,40.1,0.06,2.9,6.11,6.54,70.4,28.87,27.65,14.34,13.88,20.89,0.55,51.7,95.3,15.5,2.78,4.62,13.11,64.41,2.8,0.17,67.35,12.95,4.43,32.65,106.95,855.56,1089.29,67.21,10.21,5.82,10.19,12.76,92.96,32.65,22.6,12.1,0.31,0.94,6.81,3.44,85.29,10.05,2.59,32.65,74.3,48,10
United States,Massachusetts,Norfolk County,02MAR2020,,,7,4,12,3,4,0,706775,1766.9,40.9,0.04,2.5,5.31,8.59,69.13,24.93,28.16,15.76,16.04,19.75,1.81,53,93.9,16.86,2.42,5.18,9.64,54.54,1.42,0,0.24,13.47,4.3,37.29,39.23,14.17,13.06,55.96,10.04,8.9,11,12.61,94.5,37.29,25.8,5.4,0.12,10.62,6.73,2.31,77.48,11.49,1.93,37.29,1.94,400,11
United States,Massachusetts,Plymouth County,02MAR2020,,,5,4,27,-1,3,-1,521202,788.5,42.6,0.04,2.6,5.24,8.5,68.18,21.96,29.39,16.35,16.83,15.72,1.89,36.7,92.9,9.29,2.94,6.76,12.55,53.32,1.66,0,2.07,19.02,3.74,35.75,39.49,17.21,12.95,54.99,8.72,7.56,11.7,10.48,94.52,35.75,27.15,5.3,0.13,1.25,9.24,2.3,81.96,8.6,2.98,35.75,3.75,661,12
