,Statistic,Barnstable_County_MA,Berkshire_County_MA,Bristol_County_MA,Dukes_County_MA,Essex_County_MA,Franklin_County_MA,Hampden_County_MA,Hampshire_County_MA,Middlesex_County_MA,Nantucket_County_MA,Norfolk_County_MA,Plymouth_County_MA,Suffolk_County_MA,Worcester_County_MA
96,2018,"$74,756","$56,503","$54,089","$93,726","$67,507","$54,689","$51,187","$52,984","$83,795","$124,168","$92,285","$67,505","$81,152","$57,003"
97,Median Household Income 2018,"$69,001","$58,375","$66,005","$70,224","$76,373","$58,992","$52,682","$74,456","$100,374","$97,525","$100,184","$89,678","$68,743","$71,767"
98,Median Household Income 2018,"$69,001","$58,375","$66,005","$70,224","$76,373","$58,992","$52,682","$74,456","$100,374","$97,525","$100,184","$89,678","$68,743","$71,767"
99,Finance and Insurance - Avg Wage per Job 2018,"$89,115","$83,173","$71,041","$71,549","$97,299","$63,397","$106,189","$66,853","$116,925","$83,055","$111,750","$84,839","$250,970","$87,626"
100,Employer Contributions for Government Social Insurance,"$366,326","$218,927","$859,323","$36,873","$1,412,041","$85,101","$774,775","$211,424","$5,367,523","$36,095","$1,708,491","$759,680","$4,243,205","$1,416,214"
101,Unemployed 5-Year Pct. Chg,-44.5 %,-47.0 %,-46.7 %,-47.3 %,-47.3 %,-47.0 %,-44.1 %,-46.4 %,-46.2 %,-26.2 %,-45.5 %,-46.0 %,-45.2 %,-45.7 %
102,Unemployment Rate 5-Year Pct. Chg,-45.8 %,-47.0 %,-50.0 %,-48.1 %,-50.0 %,-49.1 %,-46.1 %,-49.1 %,-51.1 %,-32.3 %,-50.0 %,-50.0 %,-50.9 %,-49.2 %
103,Unemployed 10-Year Pct. Chg,-56.5 %,-59.4 %,-63.7 %,-45.4 %,-61.3 %,-62.4 %,-55.4 %,-56.4 %,-62.2 %,-39.5 %,-61.8 %,-61.2 %,-58.4 %,-60.8 %
104,Unemployment Rate 10-Year Pct. Chg,-53.6 %,-54.5 %,-65.4 %,-35.9 %,-65.5 %,-64.5 %,-55.9 %,-57.8 %,-66.7 %,-37.3 %,-65.8 %,-64.7 %,-66.2 %,-65.2 %
105,20-Year pct. Change,124.9 %,107.8 %,112.9 %,170.8 %,108.7 %,108.5 %,103.3 %,107.6 %,114.2 %,182.8 %,128.1 %,125.5 %,137.5 %,100.9 %
106,30-Year pct. Change,242.0 %,213.3 %,213.8 %,315.7 %,214.7 %,214.0 %,185.8 %,203.3 %,238.8 %,335.3 %,257.0 %,244.1 %,286.0 %,198.0 %
107,Personal Contributions for Government Social Insurance,"$468,697","$255,643","$967,940","$47,635","$1,631,770","$108,099","$845,177","$252,875","$5,886,084","$42,220","$1,877,652","$905,294","$4,926,907","$1,550,833"
108,Minus: Contributions for Government Social Insurance,"$835,023","$474,570","$1,827,263","$84,508","$3,043,811","$193,200","$1,619,952","$464,299","$11,253,607","$78,315","$3,586,143","$1,664,974","$9,170,112","$2,967,047"
109,Plus: Adjustment for Residence,"$1,220,031","($71,196)","$4,284,714","($22,233)","$8,155,386","$494,968","$347,720","$761,287","($7,228,473)","($4,967)","$11,710,435","$8,638,711","($44,948,559)","$6,131,689"
110,"Plus: Dividends, Rent, Interest","$4,808,857","$1,572,755","$4,222,707","$635,688","$10,522,514","$789,522","$3,355,955","$1,800,454","$31,881,675","$553,236","$16,440,536","$6,144,095","$14,645,028","$7,177,478"
111,Plus: Transfer Payments,"$2,974,869","$1,730,218","$6,552,765","$178,584","$8,007,593","$937,506","$6,789,381","$1,307,606","$12,507,680","$73,431","$5,740,973","$5,416,530","$9,251,760","$7,970,164"
112,Total Earnings by Place of Work,"$7,785,183","$4,381,888","$17,274,223","$918,796","$29,732,144","$1,852,119","$15,205,489","$5,144,199","$109,397,802","$863,064","$34,790,974","$16,442,141","$95,731,986","$29,048,381"
113,Net Earnings by Place of Residence,"$8,170,191","$3,836,122","$19,731,674","$812,055","$34,843,719","$2,153,887","$13,933,257","$5,441,187","$90,915,722","$779,782","$42,915,266","$23,415,878","$41,613,315","$32,213,023"
114,Equals: Personal Income by Place of Residence,"$15,953,917","$7,139,095","$30,507,146","$1,626,327","$53,373,826","$3,880,915","$24,078,593","$8,549,247","$135,305,077","$1,406,449","$65,096,775","$34,976,503","$65,510,103","$47,360,665"
115,Statistic," Barnstable County, MA"," Berkshire County, MA"," Bristol County, MA"," Dukes County, MA"," Essex County, MA"," Franklin County, MA"," Hampden County, MA"," Hampshire County, MA"," Middlesex County, MA"," Nantucket County, MA"," Norfolk County, MA"," Plymouth County, MA"," Suffolk County, MA"," Worcester County, MA"
